"filename", "language", "HTML", "JavaScript", "CSS", "Markdown", "XML", "JavaScript JSX", "JSON", "comment", "blank", "total"
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\README.md", "Markdown", 0, 0, 0, 6, 0, 0, 0, 0, 4, 10
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\eslint.config.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 0, 2, 39
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\index.html", "HTML", 26, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 4493, 0, 1, 4494
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\package.json", "JSON", 0, 0, 0, 0, 0, 0, 31, 0, 1, 32
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\public\portfoliodata.js", "JavaScript", 0, 402, 0, 0, 0, 0, 0, 9, 1, 412
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\public\vite.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\App.css", "CSS", 0, 0, 74, 0, 0, 0, 0, 7, 3, 84
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\App.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 28, 0, 0, 2, 30
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\assets\react.svg", "XML", 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Education_card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Experience_card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 3, 17
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 72, 0, 0, 8, 80
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Price_Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 49, 0, 0, 2, 51
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Project_Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 20, 0, 0, 3, 23
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Section_Heading.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"c:\Users\Development\Desktop\New folder (2)\MyPortfolio\src\components\Service_Card.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 3, 20
